r 2 150 30|s 0 200 80 
r 3 150 30|s 0 200 80 
r 5 150 30|s 2 200 80 
r 6 150 30|s 2 200 80 
r 8 150 30|s 3 200 80 
r 9 150 30|s 3 200 80 
r 11 150 30|s 5 200 80 
r 12 150 30|s 5 200 80 
r 14 150 30|s 6 200 80 
r 15 150 30|s 6 200 80 
r 17 150 30|s 8 200 80 
r 18 150 30|s 8 200 80 
r 20 150 30|s 9 200 80 
r 21 150 30|s 9 200 80 
r 23 150 30|s 11 200 80 
r 24 150 30|s 11 200 80 
r 26 150 30|s 12 200 80 
r 27 150 30|s 12 200 80 
r 29 150 30|s 14 200 80 
r 30 150 30|s 14 200 80 
r 32 150 30|s 15 200 80 
r 33 150 30|s 15 200 80 
r 35 150 30|s 17 200 80 
r 36 150 30|s 17 200 80 
r 38 150 30|s 18 200 80 
r 41 150 30|s 18 200 80 
r 44 150 30|s 20 200 80 
r 47 150 30|s 20 200 80 
r 50 150 30|s 21 200 80 
r 53 150 30|s 21 200 80 
r 56 150 30|s 23 200 80 
r 59 150 30|s 23 200 80 
r 62 150 30|s 24 200 80 
r 65 150 30|s 24 200 80 
r 68 150 30|s 26 200 80 
r 71 150 30|s 26 200 80 
r 74 150 30|s 27 200 80 
r 77 150 30|s 27 200 80 
r 80 150 30|s 29 200 80 
r 83 150 30|s 29 200 80 
r 86 150 30|s 30 200 80 
r 89 150 30|s 30 200 80 
r 92 150 30|s 32 200 80 
r 95 150 30|s 32 200 80 
r 98 150 30|s 33 200 80 
r 101 150 30|s 35 200 80 
r 104 150 30|s 35 200 80 
r 107 150 30|s 36 200 80 
r 110 150 30|s 36 200 80 
r 113 150 30|s 41 200 80 
